id,price,Title,Genre,Score
1,"€12,65",With Love... from the Age of Reason,Comedy|Romance,3.8
2,"€18,08","End of the Affair, The",Drama,4.7
3,"€17,87",Rage,Action|Crime|Thriller,3.9
4,"€36,20",10 000 timmar,Comedy,4.1
5,"€36,73",Cheech and Chong's Up in Smoke,Comedy,2.2
6,"€19,05",Hard Ticket to Hawaii,Action|Comedy,2.1
7,"€14,64",Gigi,Comedy,4.0
8,"€31,95","Hawaiians, The",Drama,4.4
9,"€27,69",Floundering,Comedy,3.8
10,"€27,32",Night and the City,Film-Noir|Thriller,2.1
11,"€26,83",Wild America,Adventure|Children,3.2
12,"€25,74",Venus Beauty Institute (Vénus beauté),Comedy|Drama|Romance,3.9
13,"€21,82","Unfinished Life, An",Drama,4.9
14,"€23,86","Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare)",Comedy|Musical|Romance,4.8
15,"€31,73",Stuck,Horror|Thriller,3.6
16,"€31,61","Hasty Heart, The",Drama,3.1
17,"€28,96",Almost Heroes,Adventure|Comedy|Western,4.4
18,"€39,15",Little Ashes,Drama,3.8
19,"€39,48",Dolemite,Action|Comedy|Crime|Mystery|Thriller,4.9
20,"€20,17",House III: The Horror Show,Horror,4.0
21,"€23,23",Seven Swords (Chat gim),Action|Drama,4.2
22,"€25,85",Zatoichi in Desperation (Shin Zatôichi monogatari: Oreta tsue) (Zatôichi 24),Action|Adventure|Drama,2.6
23,"€38,34",Women of the Night (Yoru no onnatachi),Drama,4.7
24,"€14,27","Honeymoon Killers, The",Crime|Thriller,2.4
25,"€13,41",Fixed Bayonets!,Drama|War,2.3
26,"€30,48","Driller Killer, The",Drama|Horror,3.6
27,"€26,54",Mildred Pierce,Drama,3.7
28,"€25,08",Monsieur Vincent,Drama,3.2
29,"€25,67",Firstborn,Drama|Thriller,2.6
30,"€24,94",Tango & Cash,Action|Comedy|Crime|Thriller,2.6
31,"€15,13",Sunshine State,Drama,4.8
32,"€34,11",Super Duper Alice Cooper,Documentary,4.0
33,"€28,33",I am Von Höfler (Variation on Werther - Private Hungary 15),Documentary,2.9
34,"€19,46","Sleeping Car, The",Comedy|Horror,4.2
35,"€28,47",Bad Ronald,Drama|Horror|Thriller,4.8
36,"€11,82",For the Birds,Animation|Children|Comedy,4.9
37,"€39,03",Dorian Gray,Drama|Horror|Sci-Fi,2.3
38,"€19,74","Royal Tenenbaums, The",Comedy|Drama,4.9
39,"€23,13","Oh, Susanna!",Romance|Western,4.8
40,"€28,73",Piglet's Big Movie,Animation|Children,2.9
41,"€32,10",Unknown,Drama|Mystery|Thriller,4.3
42,"€37,34",Jesus Christ Vampire Hunter,Action|Comedy|Horror|Musical,4.8
43,"€19,56",Paradise,Drama,2.5
44,"€24,69",Trust Me,(no genres listed),2.4
